+-------+-----+-----+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+-------------+-------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)  |  AVG(BODY)  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/301.jpg     | 0.098 | 0.098 | 0.098   | 0.098 | 0.098 | 0.098 | 0.098 | 0.000  | 94659.000   | 94659.000   | 94659.000   | 94659.000   |
| 26    | 0   | 26  | 0   | 0   | 0   | GET    | /login             | 0.001 | 0.009 | 0.072   | 0.003 | 0.007 | 0.008 | 0.009 | 0.002  | 1290.000    | 1290.000    | 33540.000   | 1290.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/10000       | 0.069 | 0.069 | 0.069   | 0.069 | 0.069 | 0.069 | 0.069 | 0.000  | 4359.000    | 4359.000    | 4359.000    | 4359.000    |
| 3     | 0   | 3   | 0   | 0   | 0   | GET    | /image/10003.png   | 0.018 | 0.031 | 0.069   | 0.023 | 0.031 | 0.031 | 0.031 | 0.006  | 1015051.000 | 1015082.000 | 3045208.000 | 1015069.333 |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/10000.png   | 0.009 | 0.012 | 0.021   | 0.010 | 0.012 | 0.012 | 0.012 | 0.002  | 1057906.000 | 1057912.000 | 2115818.000 | 1057909.000 |
| 5     | 0   | 5   | 0   | 0   | 0   | GET    | /favicon.ico       | 0.002 | 0.008 | 0.016   | 0.003 | 0.008 | 0.008 | 0.008 | 0.002  | 43.000      | 43.000      | 215.000     | 43.000      |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9982.jpg    | 0.000 | 0.008 | 0.008   | 0.004 | 0.008 | 0.008 | 0.008 | 0.004  | 150046.000  | 150046.000  | 300092.000  | 150046.000  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9995.jpg    | 0.001 | 0.007 | 0.008   | 0.004 | 0.007 | 0.007 | 0.007 | 0.003  | 123504.000  | 123512.000  | 247016.000  | 123508.000  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9996.jpg    | 0.003 | 0.005 | 0.008   | 0.004 | 0.005 | 0.005 | 0.005 | 0.001  | 375218.000  | 375225.000  | 750443.000  | 375221.500  |
| 1     | 0   | 0   | 1   | 0   | 0   | POST   | /comment           | 0.007 | 0.007 | 0.007   | 0.007 | 0.007 | 0.007 | 0.007 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9994.jpg    | 0.002 | 0.005 | 0.007   | 0.004 | 0.005 | 0.005 | 0.005 | 0.002  | 105247.000  | 105247.000  | 210494.000  | 105247.000  |
